label,text
1,اترك تهوى لاجل تخشى
1,عمرتنا مميزة ورائعة
1,﻿قصه غايه الروعة
1,﻿اللهم اجعلنا دائما مسلمين صادقين افكارنا اعمالنا
0,والله تحشيش الاخر
0,شباب صايع مو ملاقي ياكل مخه فاضي متخلف عقليا
1,الله شيء قدير
0,يستحون جايين لو انا منهم اروح اقشر بصل
1,﻿دعاء جميل ماشاء الله
0,ولك تفيييه عليك
0,والله هبل هبل
0,نار جهنم تاخدو
1,﻿الحمد لله نامل الله يمن علينا بالهدايه
1,يا طيبة الخير جينا
0,﻿بس مو مزبوط
1,اللهم ارضنا بقضائك
1,يا رب اريد تجديد ايماني ساعدني
0,غبي الله يزيد غباك
1,الحل الوحيد القرب الله وذكره بذكر الله تطمئن القلوب قال الله تعالى
1,اللهم اكرمنا برضاك
0,تغني متقرفة
0,﻿ حرام
0,﻿لا هديله بالشوز زى الصعيدى يكرمه ضربه بالشبشب ناقصة حرامية
0,اشكوك
1,والله نفسى بس الواحد بيجى علية فترات ينسى يعمل اية بجد
1,تحيه لأهل فلسطين الغاليه
0,اللهم اجعلني دائما مظلوم
0,بكره حد قدك
0,خلص اخرسن انا قرفت اكتر منكن
1,حياك اللة
1,واجعلنا سكانها
1,ربك دايما جنبك لو ناديتوا ها تلاقه
1,نسأل الله تعالى بحق أرحنا يا بلال أرحنا
1,﻿صدقت يا رب إجعلنا راضين بقدرك
0,اقلب وجهك
0,حطمت احلامي البريئه
0,قوة بالله أذا أخذ أوهب أسقط أوجب
1,ربنا يكفينا الشر
1,يارب اهدنا وقوى عزيمتا تحب وترضى
0,استاذ غاوي غاوي كنت غاوي المسخره روح اشتغل كراكوز
0,اقرفني شعر تقول حاط دبر امل وجاي
0,مش النووي صار اظنش اسرائيل تسمح باقامته بهالسهولة اللي بيعني انو احنا متطورين متقدمين
0,مالك دين مثل الكلاب الضالة اقولك مثل مومسات عاهرات المراقص عندكن
0,فضحتونا وين نحنا بال عنا برامج هيك تافها ومخمجي
1,يا هيك الاكل يا بلا لش الحكي
0,﻿الله يرفعهم جهنم جنب القذافي بأسرع وقت لان الظلم زاد حده
0,﻿اللي لازم يصير اضراب موظفي الدوائر الحكوميه الخاصه لمدة اسبوع شوف بعدها
0,عدولة السامج خرب اوم المقطع قسسم زبالة هالآدمي ودمه زززفت انا ضحكت
0,لو كاكا بالبرازيل كنت اعطيط لايك بس هيك فشر
0,﻿ برنامج قديم
0,﻿الموضوع اله علاقه بالتخلف بس لما الاضرار الفائده بلا اﻷهم هيك المفاعل بحاجه لتبريد دائم للاسف وين المي يلي عنا؟؟؟؟
1,ربنا يرحمنا برحمته
0,ابوهااا هوه﻿ المصيبة بسس هممه الفلووس اللي تجيبهااا بنته
1,شئ حب الله تهون وحب ربنا أقوى بكتير حاجه
0,هاد برنامج وسوبر ستار بنامج شوف البريطان شو بعملو فعلن سوبر الهبل
1,صار بدها بطارية التقوى شحن
1,حلمي أكون مثل سوشي
1,ربنا يحميك
0,واحد حقير
0,أسماء الاسد كـــس أخـــت زوجـــك
1,قول يا الله ده عنك مش بعيد متشلش تشعر بضيق اقول يالله اهديني ياقلبي عشان اتوب امحي الذنوب واهديلي الطريق
1,﻿ماأجمل الحب الأخوة الله نخاف بعضنا علاقتنا ربنا شئ رائع
0,سعودي متهور
1,﻿اي الله صحيح أهم شي الانسان كرامته
1,﻿سبحان الله مواقف معنى قيمة فعلا تعلم شاء الله
0,بقلو بيضه
1,اله الله محمد رسول الله
1,فعلا قررت وأخدت القرار ده وحاسة براحة وسعادة كبيرة أوي بقربي ربنا بجد الحمد لله
0,التطبيقات قليله بالمتجر ولازال امام مايكروسوفت عمل طويل للتغلب المشكله
1,اللهم أعنا تقواك
0,بس الله يسامحكم تلقوها بصحتكم شاء الله
0,تدرون يا جماعة الخير بتتعدب والله
1,اللهم إجعلنا منهم
1,﻿اللهم احسن خواتيم اعمالنا اجعل اوقاتنا طاعه
1,﻿صباح الإبتسامة مرسومة محياك ربي اجعل حياتي حياة أحبتي نور نور
1,يارب طهر قلوبنا
1,يسعد صباحك بذكر الرحمان
1,اسل الله يستجيب دعائكم
0,﻿الدول المتقدمة تتجه لستخدام الطاقة المتجدده لانها اقل كلفة مخاطر البيئة الانسان نعاني ضائقة مالية كبيرة شحة مياه شديدة كلنا يعلم مدى حاجة المفاعل للمياه اذكركم بما حدث اليابان الدولة الاكثر تطور مجال التكنولوجيا عبارة جزر كذلك كم أثر علينا المفاعل النووي الاسرائيلي حالات السرطان المنتشرة ولو لاحظنا التشوهات الخلقية الاكثر جنوب البلاد
0,شباب صايع مو ملاقي ياكل
0,العرق شوي يزييد
1,﻿الحمد لله أكسجين يعيد للصدر أنفاسه ، تجدها الصوت السعيد الصوت المتئاكل البكاء
0,كلو حكي فاضي
0,يا خسارة عليكو يا شباب المستقبل
1,﻿اصبحنا اصبح الملك لله للهم الحمد احييتنا متنا اليك النشور
0,السادس الراء رايحه
0,برنامج معوق ومشاركين معوقين
1,الثقة باللة النفس ويارب اجعلنا يغير الناس ترضية
1,﻿أللهم ارضنا بما قسمته
1,يُسعدنِي وُجودُكمْ بِالصَفْحَة
1,﻿كلمات رائعه حلوه احلى يكونو النهايه رائعون
1,يارب أعيني علي دكرك وشكرك وحسن عبادتك
1,﻿الفرح فرح سرور
0,يخسو الشيعه الخنزير
1,الله يثبته يا رب ويثبتنا احنا كمان
0,اين المياه لتبريد المفاعل النووي يحتاج نصف مليون مترا مكعبا المياه لتبريده سنويا الاقل والقاصي والداني يعرف اننا بلد يعاني شحة المياه كعلوم ومعرفة بالعلوم النووية والطاقة فانا احب يتعلمها المتعلمين بلادنا بدءا جدول مندلييف للعناصر مرورا العناصر المشعة ونظرية اينشتاين للطاقة ونظريات الفيزياء الكمية والبحث عمر البروتون والنيوترينو والكواركات واللبتونات وال والنظائر المشعة وتفتيت الذرة واشعة جاما وبيتا والفا والراديوم والبلوتونيوم والبروتونات وكافة النظريات بما انواع المفاعلات النووية وتجارب الامم مثل اليابان والمانيا وروسيا وفرنسا وامريكا وللعلم علوم نظريا سهلة وبسيطة ويستطيع فهمها الانسان ذو الخلفية والرغبة العلمية وعلى الاقل جزء علمائنا يقرروا المسار يجب نسلكه ونسير بهذا الخصوص بموازنة المخاطر والمكاسب وبعدها وعلى اساس النتيجة والفائدة الواضحة يتم الاعتماد لقرارهم سلبا ام ايجابا
0,للمفاعل داخل الأردن
0,اهل العقول براحة ام نسيانك يابو نسيان صعب والله صعب
1,﻿الدال الخير كفاعله
0,﻿الحكومة قاعدة بتخبص رايحين يدمروا البلد الله ينتقم منهم
0,﻿ الظاهر اهلها مفقعين وجهها تجي ومغطيه الفلعات
1,ربنا يستر واخلاق المتاسلمين ترجعه اخرى
1,الحمدلله وربنا يجعلنا المداومين والخاشعين
1,﻿الاسلام حسن الخلق تعرف الحبيب صلى الله سلم لقب أمينا نزول الوحي
1,اللهم اصلح حالنا
0,﻿ياخسارة العروبة فيك
0,جابو المسخره لنفسهم الله لايردهم
0,مسكيييييييييين﻿
1,﻿ما شاء الله جميله
1,﻿اللهم اجعلني مقيم الصلاة ذريتي
0,﻿ ضاحك عليهم انو اصواتهم حلوة
1,﻿و خير الكلام قل دل
0,﻿شعب يحركه الظلم التعدي كرامته شعب يستحق الحياة
0,﻿ وانت اسكت تتحطم
1,﻿اللهم اغننا بحلالك حرامك اغننا بفضلك عمن سواك
1,استاذ عمرو يا ريت شوية تركيز اخوتنا بورما انهم يتعرضوا لحرب اباده حقيقيه
1,صح يا اخي صدقت الله يعين الجميع
0,﻿كيف صرت كاتب يا زلمة ؟؟ كثير عليك حمار
0,محالة أول شيء يحدث عودته للمغرب سيتم اغتصابه كالعاهرة
1,خلق الايثار
1,الحب الزوجين أوسع أبواب السعادة
1,يا الله ارحم عبدك الفقير المسكين وجميع المسلمين والمسلمات
1,شاء الله ربنا يعينا الطاعات
0,كلاب بتعوي
0,اتفه برنآمج عآلمي
0,والمصحف عاهاااااات
0,الثاني رايح
0,بكره واحد منهم بينتحر يضحكو
1,الحمد لله نعمة الإسلام
1,انا احب الكاتب
0,﻿هات ناس تفهم المثل بحكي اسأل مجرب تسأل خبير
1,﻿اللهم ارنا الحق حقا ارزقنا اتباعه ارنا الباطل باطلا ارزقنا اجتنابه
0,مجانين العرب
0,كله لايك اتفشلوني
1,﻿أللهم ثبت قلوبنا الإيمان
1,﻿صباح الورد لوجه طيبة
0,سد بوزك
0,﻿ لو مكان راغب أروح أنتحرر
0,﻿قرف
1,الدين المعاملة
1,جزاك الله خير بسمة أمل رائعة وشيقة جد
0,يلعن ابو التفاهه
0,والله اشي مزعلني اسمه محمد
0,الحروف عنده مزغوبه
1,﻿اللهم إنا نعوذ بك غضبك نسأللك رضاك
1,اشتاق للصلاه ودائما
1,﻿و دابة الأرض طائر يطير بجناحيه الأ الله رزقه
1,﻿ابتسم هدي اعصابك
0,يااخى عيب عليك لما تعمل مقارنه المصحف والحاجه دى وبعدين مين الملحد اللى انته تعرفه ده يا د يا نصر
1,اللهم اكفنا بحلالك حرامك
0,بسعد ربك وصباحك عسل قال انا اردني وبحب القياده الهاشميه وتراب الاردن وسنح الاخوان ولاد كلب هالصبح
0,نعم مصر عايزه راجل مش واحد وسخ بيقرف
0,يلي مكتوب الجبين بتشوفوا العين يعني ناوين النووي راح يفيد المليون توقيع مو الف توقيع الاحترام الشديد
0,هع بدها بس تعلق التعليقات الزنخة
1,﻿وماذا التفاؤل يوم ربيعي جميل نحقق الامال الطوال
0,﻿وانا بس شكلها هاي مو مدرسة
1,كلماتك عذبة
1,﻿هذا سلامي يسبق البرق الطير الحروف معطرة بالتحية
0,وجه حسن عزااب
1,﻿الله يسعدك يبعد عنك شر
0,﻿ لو حد يا جماعة يعرف طبيب اذن يدلني شكلي هارميهم خلاص باظو
0,﻿يااخوان احنا التطور بس منين نجيب سبعة عشر مليار دولار تكلفة المشروع نبدا اولا بااستغلال الرياح الطاقه الشمسيه الصخر الزيتي نبد بتخفيف الفاتوره النفطيه المثل بقول خذ طين بلادك حط علئ خدادك
1,عزيمة ييأس ، ابتغى الأجر الله ثابر، حياكم الله اخي مؤمن
1,صباحكم تفائل
0,﻿البنزين يجي السعوديه بأقل الاسعار الحكومه عندنا تدبل سعره
1,﻿يا رب يكرمنا بأولادنا دائما بشجع إبني كالجبل تهزه الرياح العاتية
0,سخافه
1,﻿الله يحرمنا كلماتك الحلوة يا شيخنا
1,﻿صباح الهمة النشاط شيخنا الفاضل
0,بالله تسكتوا خلينا بحالنا بدناش مشاكل ايه
0,بتمزحي يع قرف
0,﻿ صرت عاءل أشك أب هل أمر صراحتن
1,الوفاء اصبح شئ نادر يكاد معدوم
0,﻿ كسم العته البشرى
1,﻿دعواتك يا شيخ سلمان بالتوفيق الفلاح الظفر حسن الخاتمة
1,﻿لاتحزن فإن الحسنة بعشرة أمثالها سبعمائة ضعف أضعاف كثيرة ، السيئة بمثلها يعفو ربك يتجاوز ، فكم لله كرم سمع مثله جود يقاربه جود
0,دلوعه حيوانه﻿
0,اشاعه
1,اللهم اعنا التغير
1,يا صاحب الفرج
0,﻿ يخرب الدلع
1,يا رب إجعلنا الصالحين
0,عيب والله اسم المقطع
1,البسمه سر اسرار الحياة
1,قل تصاحب أقول
1,الله يوفقنا لصداقة امثالهم
0,خطبه وحده رفض شيخ إخواني النووي الاردني ، مدح النووي الايراني
1,قول يا رب وخد قرار
0,يا جاهلين يلي بحكي الطاقه النووي وجودو كفيل بوفاة شخص وولادة طفل مشوه ولو انو اشي منيح مابزتوه بالصحرا وجودو بعيد بقلل مخاطر بس بمنعها ويلي بحكي انو احنا امه جاهله مابدها تطور بكون هوه الجاهل وعدو نفسو وعدو الانسانية وبلا ننوي وبلا زفت قال نتطور قال لو بدنا نتطور طورنا حالنا زمان مش دور الننووي شعب جاهل
1,وجعلنا الماء شيء حي
0,﻿ مابتحكي معه هيك انزلع لاعاد اشووفك جلطتني
0,يخرب زوئك
1,﻿ابتسم امام الناس لتسرهم تجبر خواطرهم فتبسمك وجوههم صدقه
0,يعني لغبي يدري كاتب اسمها بالورقه ايبيلها ذكاء ترى
1,الحمد لله الفهم
1,يهدي الله يشاء
0,ايوه بالصرمة عراسه
1,﻿ساعات اللى السر اللى بيخلى الناس تحبك العلن يكونوا عارفين انهم بيحبوك سبب
0,انا خلينى ساكتة احسن
0,﻿ لازم اخر توصل اليه العقل البشري غباء اخوكم حمزة اللهواني الاردن
0,﻿ مجرم
0,﻿معظم اصحاب محطات الوقود وكالات الغاز متنفذين د زاد الغني غنى الفقير فقر
1,بدي اروح عمرة الله ييسر
0,يعني لو عايزين يبعوه بلغوني القرف هاض يع يع يع
1,احيانا الوحده تزيل بعضا ألهموم
0,بخزي
0,اللهم ارنا فيهم عجيب صنعك فانهم اذلو الشعوب
1,﻿بارك اللة فيك نتمنى المزيد النصائح
1,كلام حقيقي
0,مسوي مندهش
0,الفاتحة علي ارواح الغلابة
0,اطالب برحيل الحكومة
1,ربنا لتزغ قلوبنا إذ هديتنا
1,اللهم أحينا وأمتنا الإسلام وعلى كلمة اله الله
0,الحق مش لجنة التحكيم الحق الاغبيه المشتركين
1,الله يستر بنات المسلمين جميعا
1,الابتسامه كلمه طيبه بغير حروف
0,سوبر حمار والله السوبر حما سبب تخلفنا
1,يا لطيف ألطف بنا
0,عنجد بخزي
1,﻿ما أجمل الصبر الإصرار
1,سأبقى رائعا معك النهاية بقيتي رائعة معي النهاية
0,ههههههههههههه شكلو عمرو ماشاف كاميرا تصورو
0,مهزلة
0,لعن الله المتشبهين الرجال للنساء
1,﻿الاخلاص اللهم انا نسالك الاخلاص القول العمل السر العلن
1,ربنا يعنا علي شيء
1,﻿كثر الله أمثالك زادك الله علم
1,﻿صبحكم الله يأهل الطيب بالخير يسعد ضحاكم الظهر العشية
0,﻿سنبقى نذكر دولة الشهيد وصفي التل رئيسا للوزراء حبيبآ للفقراء
1,لاتنساني دعائك الصالح شيخنا
0,ولك واحد كندرة
0,﻿الطاقة الشمسية البديل ليست النووية
0,يعني خلوها الاشكال المصدية
1,الله يصبحك برضاه
0,الله يفضح امكم فضحتونا شو هالسخافه
1,﻿اللهم ارزقنا خيري الدنيا الآخرة ارزقنا حسن الخاتمة ارزقنا الفردوس الأعلى نحب ارزقنا لذة النظر وجهك الكريم
0,ﺍﺳﺘﻌﻤﺎﺭ ﺷﻮ ﻳﺎﺣﻤﺎﺭ ﺍﺑﻦ ﺍﻟﺤﻤﺎﺭ ﻫﺪﻣﺖ ﻟﺒﻴﻮﺕ ﻭﺷﺮﺩﺕ ﺍﻟﺸﻌﺐ ﻳﺎﺑﻦ ﺍﻟﺰﺍﻧﻴﻪ ﺍﻟﻌﻠﻮﻳﻪ ﻭﺍﻟﺸﻴﻌﻪ ﺳﻮﻑ تسحقون
1,رافق وافق
1,حلو صديق عمري
0,بنص المقطع سقاله موطبيعيه
1,تحزن دنا فانية بل احزن آخرة باقية
0,خسارة فيك اسمك
1,صباحكم سعاده
1,اللهم استخدمنا طاعتك
1,الاحترام
1,كلام ذهب
1,بجد موضوع رائع وانا اجد مناسب لهذا الوقت يارب احفظنا الفتن
1,الموت الناس رحمه
0,﻿ما انتو ادرى انو الموضوع مش لصالح الصحه العامه بعدين مش اشي بتعملو امريكا لازم نعملو نصير امعه اصلا احنا دول امعه شو بتحكي امريكا الضالين امين امريكا تقلدنا باشي واحد
1,اللهم أعنا ذكرك وشكرك وحسن عباتك
0,حثالة شباب صايع
1,غلبك أمر وعجزت التعامل معه فكرر يا حي يا قيوم برحمتك استغيث
1,﻿ربنا يبارك قدوه للجميع المسلمين انحاء العالم
0,﻿أوروبا كلها تريد التخلص النووي تحاول استثمار الطاقه الشمسية عندهم شمس ربعنا احنا بدنا نأخذ راحت موضته وولى زمانه كثر إخلاص القائمين مصلحة الوطن يا حسره
0,صحيح انك سافل
1,ونشوف اغلى الاحبة الروضة الرحيبة
1,اللهم إنى أقسمت عليك بك تهدى شباب المسلمين وتنور قلوبهم أنعمت طارق بنعمة اﻹسﻻم
1,صدقت
0,متى يجي عام عشان ادخل رجلي الشاشه واحطها بفمك
0,﻿ والله انو نذل
1,صباح الاماني الجميلة المحققة باذن الله
0,﻿ارحمونا صرنا نصف السيارة نطلع بالباص حرام عليكم
1,﻿يخفي صنائعه الله يظهرها
0,ضيعت دقايق عمري بمشاهدة ازنخ اتفه شخص بالحياة اللي بالنص بعرف اسمه
1,﻿يا طيب صباحك خيرات
1,معك حق
1,متخافش يامؤمن قول يارب وحب ربك دة اللى خلق النعمة اللى متعلق بيها يعنى اعظم النعمة دى وانت عارف كدة
1,كلام بليغ اللهم أرزقنا الزوج الصالح يعرف معني رفقا بالقوارير
1,اكيد لو كده الدنيا
0,كله راس المواطن يثير السخرية رفع اسعار المستقات النفطية المستخدمة الصناعة تقول صناعتنا مكسرة الدنيا
0,﻿ يشبه رغد مجنونة هيافاء
1,صح الصح كمان
0,فظيعين﻿
0,بالستايل مقلده الله ياخذ عمره الغبي
1,﻿صباح الخير النور الأنوار
1,احلى اشي الحياة الاستقرار زوج صالح
1,﻿عيش زي بدك ترد حدا ابدا
1,اللهم إني اعود بك الذنوب تزيل نعمتك وتحول عافيتك وتحبس رزقك وتعجل بغضبك
1,﻿حقا
1,﻿صباح ملؤه الخيرات المسرات
1,سبحان الله قادر شىء
0,ده سوسن خالص ينهار اسود
0,جهنم وبئس المصير
0,وبالمناسبة، مصادر الطاقة، فالاردن غني بالزيت الصخري، وفش داعي لمصايب جديدة ع البشر والبيئة
1,﻿اللهم اصلح حالي احفظني نور قلبي اجعل طريق الخير طريقي اجعل عملي خالصا لوجهك الكريم توب علي اغفر زلاتي
0,كلب واطي
1,اللهم معنا علي طاعتك ورضاك وقوي عذامئنا
1,﻿اللهم اغفر وسع رحمتك اصلح ذريته
0,سخيف مره يمسخرون الواحد ومافي شي يضحك اصلا
1,ارجوك يا استاذنا الفاضل ادعيلي بالنجاح مسابقة المجستير العام القادم والشفاء بارك الله فيك
0,مو حلو
0,﻿سدئناك يا كذاب
0,كلو حكي فاضي
1,﻿صباح الرحمة البركات شاء الله
1,اللهم استرنا وجميع بنات المسلمين
1,﻿أنما بعثت لأتم مكارم الأخلاق
0,الله يوخدها
1,انا فعلا عملت كده والحمدلله بقيت احسن الحجات ربنا خدها مني الحمدلله
0,بس انا دايم احسها خشنة رجال
0,اموت بصوتها
1,يا رب سواك
0,لقد اتحفتمونا بلجوكم لجيبتنا انفجرت بفضلكم الفاسدين يتنعمون باموالنا فهل اصبح فاسدا لأعيش
0,يلعن اخت المياعة والبياخة
1,تفاءل بالخير تجده
0,الله يوخذكم
1,والنعم والاخلاق والنعم والصداقه والنعم الاخوه
1,الهم اجعلنا اخوة الله واحشرنا الصديقين والشهداء والصالحين
1,﻿يا رب يتقبل منا الله العقل مو فاضي القلب مكسور
1,هادي الاخوة الصادقة
0,الغباء واضح
0,﻿مين هااي بصورة وئدامها كورس
0,﻿مزعج كثييير
0,الشو اسمو ستار أكاديمي المسخره عل العالم أكاديمي
0,﻿الاردن تمتلك الخبرات الفنيه انشاء صيانة تشغيل المفاعلات النوويه لاردن لديها سوى شهادات دكتوراة المجال نظرية بحته انشاء مفاعل نووي يعنى مقامرة كامله بمئات الملاييين المضحك الموضوع بداية المشروع ستكون انشاء مفاعل تجريبي تعليمي يتبع لهيئة الطاقة النوويه اليس الاجدر بهكذا مفاعل يتبع لاحدى الجامعات ؟ علاوة هيئة الطاقة انشأها رضوة لفلان وعلنتان الاولي يا سادة يتم طرح انشاء شركة للتنقيب اليورانيوم وبيعه لتصبح الاردن دولة مصدرة لهذه المادة مر اخر كثر الحديث مؤخرا يوجد الاردن بترول بكميات الاقل تكفي استهلكنا المحلي
1,﻿الحمد لله بنعمته تتم الصالحات حمدا منقطع
0,عندهم قلة احترام للمشتركين وفلة ادب تجاه المشاهدين
1,الله يبارك فيك لانك غيرت صاحبتي كتير المتؤثرين فيك اللي عرفتني عليك
1,﻿و الله بالنهاية يكونو رائعون
1,يشم الطيب ويتعطر يا دكتور عمر
0,ابن بشار الاسد كس اخت ابوك
1,والله حصل معانا ومع ناس كثيرة بدل حب الحرام بحب الحلال يبدل الله كيانك
0,انشالله انو يطلع كلام فاضي لانو ضربت سوريا الاردن رح اتصير حرب عالمية ثالثة رح اتخلص لما نتخزق
0,﻿الانكسار اسوء الاشياء
1,﻿اللهم اجعلنا ممن يتمتعون بروح ريحان
0,فاشل شله نامج فاشل
1,روعه
1,أخرج أهل سوريا الضيق الفرج
0,فاشله
1,أحلى صباح أحلى شيخ العالم
0,للبرنامج التافه يسمح لهذا الشي
0,البعض يعتقد المفاعل النووي سيحل مشاكلنا الاقتصادية ولكن الأردن يمتلك موارد مالية وهذا يعني الحاجة لشريك أجنبي اعلنت هيئة الطاقة يملك غالبية الأسهم تركيا سبيل المثال وذلك يعني الشريك سيمتلك الجزء الأكبر المفاعل ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي يوفر الكهرباء بسعر
0,﻿ ﻋﺎﻫﺎﺗﻚ ﻳﺎ ﻭﻃﻨﻲ
1,﻿يا رب اسعد قلبي
0,صرماتي براس اهلك
1,صباح الوجه الصبوح
0,مهزلة التاريخ
1,يا حلالي ويا مالي ايوش هييييييييك لازم زمان
0,﻿ما اثقل دمك اغباك
0,ملعوب عليهم
0,برامج سخيفة تهدف لهدم الأمة
1,شكرا دكتور فكلماتك بالغ الأثر نفوسنا
1,يا رب كن وكيل
0,﻿لوين ندكم توصلونا الله هموم المصاريف قتلت الصغير الكبير الله ياخذ حقنا منكم يباركلكم
1,بسمة امل حلوة
1,يارب اوقف جنبي وقدرني
0,كلهم فاجرين
1,يارب ناخذ القرار الصح
0,فهم ادرى واخبر وبل انكارا للشيعة وامثالهم
1,﻿اللهم أغفر لى لأمة المسلمين أجمعين
1,اللهم اعصمنا م معصيتك
1,﻿صح لسانك
0,تحطم ماتبقى اطيافي
1,يا عطاء امنان يا اكرم الاكرمين
1,ربنا المستعان ادعولنا ارجوكم
1,الحمد لله رزقني بالإسلام
0,﻿ والله خبل
0,نيله تنيلكم وين جايبين هالحثانه
1,﻿اللهم أعنا ذكرك شكرك حسن عبادتك
0,يلعن ام اللي باخر المقطع حق عدوله يا ثقيل دم
0,متأكده أنو هذولي مدفوعلهم علشان يجون يغنون لأنو مافي ناس مهابيل لهالدرجه
1,احسنوا الظن
1,اللهم اتم علينا مكارم الاخلاق
1,﻿اللهم اغفر يعلمون اجعلني خيرا مما يظنون
0,كنت اشوف الاجانب اقول موسوسين
0,سوبر حمار
1,كلام حلو ومشجع
0,شو بدو بهالشوفه ؟؟؟؟؟؟؟؟؟؟؟
1,يا الله عالمواساه يرحم ايام زمان
0,﻿ سخيفة
1,عشان هيك قال النبي صلى الله وسلم الكذب يهدي الفجور والفجور يهدي النار
1,ربي ينعم علينا بنعمة الخشوع
0,هديله بالجزمة طبعا
1,ده عمله نادرة الاخلاق ملهاش علاقه بالدين
1,ماخاب دعا الله
0,ثكلتك امك
0,﻿ عاهاتك ياعرب
0,قصدك اخر توصل اليه العقل البشري تفاهات
1,﻿صبأحكم امل مشرق عطا متجدد كمأ شروق الشمس
1,انا فعلا مؤمن بالفكرة دي وبحاول انفذها
0,ماعندك شرف
0,كأنهم خرفان العيد المسلخ
0,عنجد الانسان تافه وحقير
1,بوركت
1,﻿مش عارف لية بيتحوله هما دواره عليك نفسهم معاهم الأول
0,السلام عليكم الحقيقه انا اعرف شو وقاحة هاي اللجنه المشترك يعطي عنده مواهب عنده وهم يعطون عندهمما
0,﻿الطاقة الشمسية البديل ليست النووية
0,اغبياء
1,أحسن شيء العمل يؤدي للاستمرارية
0,مضحك ، بل مخزى ، يا للخزى العار
0,بعين الله يا امال كلهن ستين سبعين سنه وبمضن وبتهون
1,الحمد لله ع السلامه
1,﻿ليتنا نستطيع الابتسامه الاوقات المؤلمه
0,﻿
0,الجيل هيحرر فلسطين شوفه سوريا يقاتل العلويين الكلاب ربي يعلمهم فنون القتال ويربيهم،،
1,بارك الله فيك
1,الحب بقى تيك اواى اوى لما نلقى انسان مخلص حبه الحب ده اجمل واسما عاطفة الوجود
1,﻿الخشوع إحساس جميل جد أمام الله القلب يحب الدمع صافي متعه الصلاة راحه فائقه أتمنى لكل المسلمين الخشوع
1,والله صحيح
1,ربنا يكرمك سعيك وحُبك للمُساعدة
0,صوته مره منبح احسه تعبان عاد زبدولة مابقى يطلع شوي
0,انا واغني وانا بالحمام وانتوا بكرامه صوتي احلا العاهات هذيل
0,أجمل مثل الحُب الصادق الشفا
